date,province_code,province,city_code,city,confirmed,suspected,cured,dead
20191201,420000,湖北省,420100,武汉市,1,0,0,0
20191202,420000,湖北省,420100,武汉市,1,0,0,0
20191203,420000,湖北省,420100,武汉市,1,0,0,0
20191204,420000,湖北省,420100,武汉市,1,0,0,0
20191205,420000,湖北省,420100,武汉市,1,0,0,0
20191206,420000,湖北省,420100,武汉市,1,0,0,0
20191207,420000,湖北省,420100,武汉市,1,0,0,0
20191208,420000,湖北省,420100,武汉市,1,0,0,0
20191209,420000,湖北省,420100,武汉市,1,0,0,0
20191210,420000,湖北省,420100,武汉市,1,0,0,0
20191211,420000,湖北省,420100,武汉市,4,0,0,0
20191212,420000,湖北省,420100,武汉市,4,0,0,0
20191213,420000,湖北省,420100,武汉市,4,0,0,0
20191214,420000,湖北省,420100,武汉市,4,0,0,0
20191215,420000,湖北省,420100,武汉市,6,0,0,0
20191216,420000,湖北省,420100,武汉市,6,0,0,0
20191217,420000,湖北省,420100,武汉市,7,0,0,0
20191218,420000,湖北省,420100,武汉市,8,0,0,0
20191219,420000,湖北省,420100,武汉市,9,0,0,0
20191220,420000,湖北省,420100,武汉市,14,0,0,0
20191221,420000,湖北省,420100,武汉市,18,0,0,0
20191222,420000,湖北省,420100,武汉市,21,0,0,0
20191223,420000,湖北省,420100,武汉市,29,0,0,0
20191224,420000,湖北省,420100,武汉市,30,0,0,0
20191225,420000,湖北省,420100,武汉市,33,0,0,0
20191226,420000,湖北省,420100,武汉市,35,0,0,0
20191227,420000,湖北省,420100,武汉市,37,0,0,0
20191228,420000,湖北省,420100,武汉市,37,0,0,0
20191229,420000,湖北省,420100,武汉市,37,0,0,0
20191230,420000,湖北省,420100,武汉市,37,0,0,0
20191231,420000,湖北省,420100,武汉市,40,0,0,0
20200101,420000,湖北省,420100,武汉市,43,0,0,0
20200102,420000,湖北省,420100,武汉市,44,0,0,0
20200103,420000,湖北省,420100,武汉市,41,0,0,0
20200104,420000,湖北省,420100,武汉市,41,0,0,0
20200105,420000,湖北省,420100,武汉市,41,0,0,0
20200106,420000,湖北省,420100,武汉市,41,0,0,0
20200107,420000,湖北省,420100,武汉市,41,0,0,0
20200108,420000,湖北省,420100,武汉市,41,0,0,0
20200109,420000,湖北省,420100,武汉市,41,0,0,0
20200110,420000,湖北省,420100,武汉市,41,0,2,1
20200111,420000,湖北省,420100,武汉市,41,0,6,1
20200112,420000,湖北省,420100,武汉市,41,0,7,1
20200113,420000,湖北省,420100,武汉市,41,0,7,1
20200114,420000,湖北省,420100,武汉市,41,0,7,1
20200115,420000,湖北省,420100,武汉市,41,0,12,2
20200116,420000,湖北省,420100,武汉市,45,0,15,2
20200117,420000,湖北省,420100,武汉市,62,0,19,2
20200118,420000,湖北省,420100,武汉市,121,0,24,3
20200119,420000,湖北省,420100,武汉市,198,0,25,3
20200119,440000,广东省,440300,深圳市,1,0,0,0
20200120,310000,上海市,,外地来沪,1,0,0,0
20200121,110000,北京市,110102,西城区,1,0,0,0
20200121,110000,北京市,110106,丰台区,1,0,0,0
20200121,110000,北京市,110108,海淀区,2,0,0,0
20200121,110000,北京市,110112,通州区,1,0,0,0
20200121,110000,北京市,110114,昌平区,2,0,0,0
20200121,110000,北京市,110115,大兴区,2,0,0,0
20200121,110000,北京市,,武汉来京,1,0,0,0
20200121,230000,黑龙江省,231000,牡丹江市,0,1,0,0
20200121,330000,浙江省,330100,杭州市,1,0,0,0
20200121,330000,浙江省,330300,温州市,2,0,0,0
20200121,330000,浙江省,330900,舟山市,1,0,0,0
20200121,330000,浙江省,331000,台州市,1,0,0,0
20200121,340000,安徽省,340100,合肥市,0,1,0,0
20200121,360000,江西省,360300,萍乡市,1,0,0,0
20200121,360000,江西省,361000,抚州市,1,0,0,0
20200121,370000,山东省,370200,青岛市,1,0,0,0
20200121,410000,河南省,410100,郑州市,1,0,0,0
