date,province_code,province,confirmed,suspected,cured,dead
20191201,420000,湖北省,1,0,0,0
20191202,420000,湖北省,1,0,0,0
20191203,420000,湖北省,1,0,0,0
20191204,420000,湖北省,1,0,0,0
20191205,420000,湖北省,1,0,0,0
20191206,420000,湖北省,1,0,0,0
20191207,420000,湖北省,1,0,0,0
20191208,420000,湖北省,1,0,0,0
20191209,420000,湖北省,1,0,0,0
20191210,420000,湖北省,1,0,0,0
20191211,420000,湖北省,4,0,0,0
20191212,420000,湖北省,4,0,0,0
20191213,420000,湖北省,4,0,0,0
20191214,420000,湖北省,4,0,0,0
20191215,420000,湖北省,6,0,0,0
20191216,420000,湖北省,6,0,0,0
20191217,420000,湖北省,7,0,0,0
20191218,420000,湖北省,8,0,0,0
20191219,420000,湖北省,9,0,0,0
20191220,420000,湖北省,14,0,0,0
20191221,420000,湖北省,18,0,0,0
20191222,420000,湖北省,21,0,0,0
20191223,420000,湖北省,29,0,0,0
20191224,420000,湖北省,30,0,0,0
20191225,420000,湖北省,33,0,0,0
20191226,420000,湖北省,35,0,0,0
20191227,420000,湖北省,37,0,0,0
20191228,420000,湖北省,37,0,0,0
20191229,420000,湖北省,37,0,0,0
20191230,420000,湖北省,37,0,0,0
20191231,420000,湖北省,40,0,0,0
20200101,420000,湖北省,43,0,0,0
20200102,420000,湖北省,44,0,0,0
20200103,420000,湖北省,41,0,0,0
20200104,420000,湖北省,41,0,0,0
20200105,420000,湖北省,41,0,0,0
20200106,420000,湖北省,41,0,0,0
20200107,420000,湖北省,41,0,0,0
20200108,420000,湖北省,41,0,0,0
20200109,420000,湖北省,41,0,0,0
20200110,420000,湖北省,41,0,2,1
20200111,420000,湖北省,41,0,6,1
20200112,420000,湖北省,41,0,7,1
20200113,420000,湖北省,41,0,7,1
20200114,420000,湖北省,41,0,7,1
20200115,420000,湖北省,41,0,12,2
20200116,420000,湖北省,45,0,15,2
20200117,420000,湖北省,62,0,19,2
20200118,420000,湖北省,121,0,24,3
20200119,420000,湖北省,198,0,25,3
20200119,440000,广东省,1,0,0,0
20200120,110000,北京市,5,0,0,0
20200120,220000,吉林省,0,1,0,0
20200120,310000,上海市,1,0,0,0
20200120,330000,浙江省,0,16,0,0
20200120,340000,安徽省,0,1,0,0
20200120,360000,江西省,0,2,0,0
